source_wave,source_task,source_call_id,problem,direction,model,variant,sample,seed,temperature,reasoning,response_id,finish_reason,warm_accepted,warm_timed_out,warm_duration_ms,warm_message_count,prompt_tokens,completion_tokens,total_tokens,cost_usd,latency_ms,candidate_sha256,error
wave_c,stage3fill-core-p03_sq_ge_two_ab-r3-c1plus-fill-reserve,0fa9fe3965564df8bbc53550a8964459,p03_sq_ge_two_ab,openai/gpt-oss-120b -> qwen/qwen3.5-flash-02-23,qwen/qwen3.5-flash-02-23,with_packet,1,3141,0.2,"{""effort"": ""medium""}",gen-1788449697-BNDzNkivbSo1kEPZKYdt,stop,True,False,35602,0,1232,707,1939,0.0002639,5469,7d72858d9c737a2564defe152a64e171bcb8e2921de295368a988c976389f66d,
wave_c,stage3fill-core-p03_sq_ge_two_ab-r3-c1plus-fill-reserve,0fa9fe3965564df8bbc53550a8964459,p03_sq_ge_two_ab,openai/gpt-oss-120b -> qwen/qwen3.5-flash-02-23,qwen/qwen3.5-flash-02-23,with_packet,2,3141,0.2,"{""effort"": ""medium""}",gen-1788449697-m9LCbvHFniPRxzkJiF0J,stop,True,False,794,0,1232,738,1970,0.00027196,6708,7d72858d9c737a2564defe152a64e171bcb8e2921de295368a988c976389f66d,
wave_c,stage3fill-core-p03_sq_ge_two_ab-r3-c1plus-fill-reserve,0fa9fe3965564df8bbc53550a8964459,p03_sq_ge_two_ab,openai/gpt-oss-120b -> qwen/qwen3.5-flash-02-23,qwen/qwen3.5-flash-02-23,with_packet,3,3141,0.2,"{""effort"": ""medium""}",gen-1788449697-cL5G9M92qwOgBn6hNZst,stop,True,False,26719,0,1232,705,1937,0.00026338,5461,7d72858d9c737a2564defe152a64e171bcb8e2921de295368a988c976389f66d,
wave_c,stage3fill-core-p03_sq_ge_two_ab-r3-c1plus-fill-reserve,0fa9fe3965564df8bbc53550a8964459,p03_sq_ge_two_ab,openai/gpt-oss-120b -> qwen/qwen3.5-flash-02-23,qwen/qwen3.5-flash-02-23,with_packet,4,3141,0.2,"{""effort"": ""medium""}",gen-1788449697-zNLYSdI0jBN3cIDMCRZt,stop,True,False,831,0,1232,705,1937,0.00026338,4350,7d72858d9c737a2564defe152a64e171bcb8e2921de295368a988c976389f66d,
wave_c,stage3fill-core-p03_sq_ge_two_ab-r3-c1plus-fill-reserve,0fa9fe3965564df8bbc53550a8964459,p03_sq_ge_two_ab,openai/gpt-oss-120b -> qwen/qwen3.5-flash-02-23,qwen/qwen3.5-flash-02-23,with_packet,5,3141,0.2,"{""effort"": ""medium""}",gen-1788449697-JXiMEEVfgiDkcGvj5E2a,stop,True,False,28835,0,1232,1006,2238,0.00034164,8095,c305286285bd9369e3e968135c99f61764e10b16f6ad533e16408bbba6d9f7bf,
wave_c,stage3fill-core-p03_sq_ge_two_ab-r3-c1plus-fill-reserve,0fa9fe3965564df8bbc53550a8964459,p03_sq_ge_two_ab,openai/gpt-oss-120b -> qwen/qwen3.5-flash-02-23,qwen/qwen3.5-flash-02-23,with_packet,6,3141,0.2,"{""effort"": ""medium""}",gen-1788449697-vLBwYWPtPKl7IYcy0WSu,stop,True,False,851,0,1232,750,1982,0.00027508,6647,7d72858d9c737a2564defe152a64e171bcb8e2921de295368a988c976389f66d,
wave_c,stage3fill-core-p03_sq_ge_two_ab-r3-c1plus-fill-reserve,0fa9fe3965564df8bbc53550a8964459,p03_sq_ge_two_ab,openai/gpt-oss-120b -> qwen/qwen3.5-flash-02-23,qwen/qwen3.5-flash-02-23,with_packet,7,3141,0.2,"{""effort"": ""medium""}",gen-1788449698-Yym7bgxg782iiGcxH0Ap,stop,True,False,27657,0,1232,711,1943,0.00026494,6079,7d72858d9c737a2564defe152a64e171bcb8e2921de295368a988c976389f66d,
wave_c,stage3fill-core-p03_sq_ge_two_ab-r3-c1plus-fill-reserve,0fa9fe3965564df8bbc53550a8964459,p03_sq_ge_two_ab,openai/gpt-oss-120b -> qwen/qwen3.5-flash-02-23,qwen/qwen3.5-flash-02-23,with_packet,8,3141,0.2,"{""effort"": ""medium""}",gen-1788449698-8pdZUxXcyik48h4CQHie,stop,True,False,882,0,1232,696,1928,0.00026104,5275,7d72858d9c737a2564defe152a64e171bcb8e2921de295368a988c976389f66d,
wave_c,stage3fill-core-p03_sq_ge_two_ab-r3-c1plus-fill-reserve,0fa9fe3965564df8bbc53550a8964459,p03_sq_ge_two_ab,openai/gpt-oss-120b -> qwen/qwen3.5-flash-02-23,qwen/qwen3.5-flash-02-23,without_packet,1,3141,0.2,"{""effort"": ""medium""}",gen-1788449697-sddHcX9DKOPipQhZMHUN,stop,True,False,373,0,830,868,1698,0.00027963,7625,2ad8abec6bd21256b20f12b19a30e8dde00e35d7a9e990e42489e8b94cd5868b,
wave_c,stage3fill-core-p03_sq_ge_two_ab-r3-c1plus-fill-reserve,0fa9fe3965564df8bbc53550a8964459,p03_sq_ge_two_ab,openai/gpt-oss-120b -> qwen/qwen3.5-flash-02-23,qwen/qwen3.5-flash-02-23,without_packet,2,3141,0.2,"{""effort"": ""medium""}",gen-1788449697-MT7bfLFfF8zTul1Fhycu,stop,True,False,339,0,830,712,1542,0.00023907,5246,2ad8abec6bd21256b20f12b19a30e8dde00e35d7a9e990e42489e8b94cd5868b,
