source_wave,source_task,source_call_id,problem,direction,model,variant,sample,seed,temperature,reasoning,response_id,finish_reason,warm_accepted,warm_timed_out,warm_duration_ms,warm_message_count,prompt_tokens,completion_tokens,total_tokens,cost_usd,latency_ms,candidate_sha256,error
wave_d,stage6-confirm-20260903,0aa7838284a649d6b76e4751cf9ff1db,aime_1990_p4,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,with_packet,1,8104,0.2,"{""effort"": ""medium""}",gen-1788507742-54IJV5iYoiRzy7hQH7Yt,stop,False,False,26236,1,1591,4353,5944,0.00078774,71482,c8845817e03d373c2962e1606d47c82e12de1f616140b58161fef9a1b7ad0c22,
wave_d,stage6-confirm-20260903,0aa7838284a649d6b76e4751cf9ff1db,aime_1990_p4,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,with_packet,2,8104,0.2,"{""effort"": ""medium""}",gen-1788507741-Lab6CYeqT29EW91LOarX,stop,False,False,25988,1,1591,2983,4574,0.00055484,61610,88b5a93dc081b2336035db56aa01b81a335bcd4aa3f76fe82e2347d40f63c92b,
wave_d,stage6-confirm-20260903,0aa7838284a649d6b76e4751cf9ff1db,aime_1990_p4,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,with_packet,3,8104,0.2,"{""effort"": ""medium""}",gen-1788507742-8fRO8HmyXWKF2jn4pfaS,stop,False,False,28779,5,1590,4398,5988,0.001179,67797,11147abd60bf42d98fe8d9c27be0bd75842c083a937c10e4813a87f56de1ff9b,
wave_d,stage6-confirm-20260903,0aa7838284a649d6b76e4751cf9ff1db,aime_1990_p4,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,with_packet,4,8104,0.2,"{""effort"": ""medium""}",gen-1788507741-UBvm9qG2vtq6DEHh5Syw,stop,False,False,1256,5,1578,5361,6939,0.000969756,159016,eec3534255e93c5d20e22777f3509da867dba225522f5f01776ffcf117c5a012,
wave_d,stage6-confirm-20260903,0aa7838284a649d6b76e4751cf9ff1db,aime_1990_p4,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,with_packet,5,8104,0.2,"{""effort"": ""medium""}",gen-1788507803-gDnBXVQB3wmhQW8NhPIW,stop,False,False,2610,3,1591,3822,5413,0.00069747,48409,09301288b49922ca5bdd0cc51f36b5d30086c5fee90a8ca3059cd43581a14a8e,
wave_d,stage6-confirm-20260903,0aa7838284a649d6b76e4751cf9ff1db,aime_1990_p4,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,with_packet,6,8104,0.2,"{""effort"": ""medium""}",gen-1788507809-38FYYHHcIWvW6zfRfeqw,stop,False,False,6586,2,1591,5046,6637,0.00090555,98919,1737380f6db099beda61223483d1cb68e1450bad0a15ada856741e8f5dc60406,
wave_d,stage6-confirm-20260903,0aa7838284a649d6b76e4751cf9ff1db,aime_1990_p4,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,with_packet,7,8104,0.2,"{""effort"": ""medium""}",gen-1788507813-JGxPpL69L4UwMd4NQJnc,stop,False,False,3482,1,1591,4522,6113,0.00081647,61915,f02cb55dcb3a04ba283f24e804ac5c0e286ad41a6a2de8627bf92eabab58d0b9,
wave_d,stage6-confirm-20260903,0aa7838284a649d6b76e4751cf9ff1db,aime_1990_p4,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,with_packet,8,8104,0.2,"{""effort"": ""medium""}",gen-1788507851-ZCPP3xht9arKjm1ZLB6l,stop,False,False,5717,2,1591,2935,4526,0.00054668,61205,1010044e9b05e0653ce2beb82b8f5cc4db69ecb98a2a075d93322229fc12ee7f,
wave_d,stage6-confirm-20260903,0aa7838284a649d6b76e4751cf9ff1db,aime_1990_p4,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,without_packet,1,8104,0.2,"{""effort"": ""medium""}",gen-1788507875-XXsIsojwWY00XZKAHTu3,stop,False,False,1364,5,520,4932,5452,0.00085404,70381,d1bc754b90abc82614c80cce3a1670b1d0045055fa27c690b14e1ce303b3f97c,
wave_d,stage6-confirm-20260903,0aa7838284a649d6b76e4751cf9ff1db,aime_1990_p4,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,without_packet,2,8104,0.2,"{""effort"": ""medium""}",gen-1788507900-cTmOmLiLkmDBfhPfBH2T,stop,False,False,17479,3,507,6986,7493,0.001206379,240114,9ddb7e74be553dcc5ef8c8bbded17670abd6e086464b5d0331790ebfc5b3e44f,
wave_d,stage6-confirm-20260903,0aa7838284a649d6b76e4751cf9ff1db,aime_1990_p4,qwen/qwen3.5-flash-02-23 -> openai/gpt-oss-120b,openai/gpt-oss-120b,without_packet,3,8104,0.2,"{""effort"": ""medium""}",gen-1788507908-k0XQ7iZ0u64eeum6G22x,stop,False,False,17479,5,507,5735,6242,0.000993709,234123,5108dccfc75b5a947ebbb5f8155a12f3f79c23cc57bca4034a1c8daabafc96bc,
